ДАТА,ДЕНЬ НЕДЕЛИ,ЧАСЫ,МИНУТЫ,ТАГ,ГОСНОМЕР,ВЪЕЗД,ВЫЕЗД,К ОПЛАТЕ
2021-11-01,0,0,2,20400890529,TE6666NK,Šimanovci , Šid,2580
2021-11-01,0,0,5,20400907224,16AKC100,Šid , Šimanovci,2580
2021-11-01,0,0,7,19241031111,14FJ992,Stara Pazova , Subotica,3810
2021-11-01,0,0,15,19241005867,T17K336,Morović , Šimanovci,2300
2021-11-01,0,0,15,20400879274,M30T806,Morović , Šimanovci,2300
2021-11-01,0,0,16,19241026194,CB2125AX,Morović , Šimanovci,2300
2021-11-01,0,0,16,19241026251,CB1454HA,Morović , Šimanovci,2300
2021-11-01,0,0,19,19241032432,14FB778,Šid , Šimanovci,2580
2021-11-01,0,0,31,19451079826,34AYS541,Stara Pazova , Žednik,3240
2021-11-01,0,0,35,20400907190,31ATZ38,Dimitrovgrad , Beograd,7860
2021-11-01,0,0,36,21320619642,31AGJ735,Subotica , Stara Pazova,3810
2021-11-01,0,0,39,21250582513,34HH3077,Šid , Šimanovci,2580
2021-11-01,0,0,42,19451080196,81EL518,Šid , Šimanovci,2580
2021-11-01,0,0,42,20400902365,81EL547,Šid , Šimanovci,2580
2021-11-01,0,0,42,20410732448,34AEN348,Stara Pazova , Subotica,3810
2021-11-01,0,0,49,20400907273,34CDH939,Pirot zapad , Beograd,7020
2021-11-01,0,0,51,21390376404,33EKP78,Dimitrovgrad , Beograd,7860
2021-11-01,0,0,56,20400877674,31AGL452,Beograd , Mali Požarevac,460
2021-11-01,0,0,58,19451079875,81EL875,Šid , Šimanovci,2980
2021-11-01,0,1,1,20410728958,35ATD241,Dimitrovgrad , Beograd,9310
2021-11-01,0,1,2,19441078912,34BET590,Dimitrovgrad , Beograd,7860
2021-11-01,0,1,2,21250614720,16MCE21,Šid , Šimanovci,2580
2021-11-01,0,1,5,20400890511,34DTA919,Beograd , Mali Požarevac,460
2021-11-01,0,1,9,21250582547,7ARP354,Dimitrovgrad , Niš Malča,2160
2021-11-01,0,1,16,19450397393,35AAG029,Beograd , Preševo,8910
2021-11-01,0,1,17,19231026410,42FKB28,Mali Požarevac , Beograd,460
2021-11-01,0,1,18,21390376321,31GY740,Pirot istok , Beograd,7280
2021-11-01,0,1,25,20400877252,81ABS507,Subotica , Stara Pazova,3810
2021-11-01,0,1,26,20400879274,M30T806,Beograd , Smederevo,1070
2021-11-01,0,1,29,19221140213,34FC4569,Šid , Šimanovci,2580
2021-11-01,0,1,36,21320608744,34CRZ911,Subotica , Stara Pazova,3810
2021-11-01,0,1,37,19241032457,14GM946,Šid , Šimanovci,2580
